trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.9, 'e': 0.6122633908126205}",30,0,-164.2458184923363,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
141,False,"{'a': 0.9, 'e': 0.6103515625}",25,12,-73.73242697969214,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
142,False,"{'a': 0.9, 'e': 0.6084486749204757}",25,0,-96.9459174167896,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
143,False,"{'a': 0.9, 'e': 0.6065546724119525}",30,20,-7.85949641037285,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.6046694997448294}",25,0,-38.842800671352364,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
145,False,"{'a': 0.9, 'e': 0.6027931021179738}",25,0,-59.152502965806605,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
146,False,"{'a': 0.9, 'e': 0.6009254251547382}",20,0,-84.45779041150408,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
147,False,"{'a': 0.9, 'e': 0.5990664148990213}",25,0,-59.36934969566915,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
148,False,"{'a': 0.9, 'e': 0.5972160178113705}",30,0,-157.9662738045922,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
149,False,"{'a': 0.9, 'e': 0.5953741807651273}",20,0,-43.29294161902831,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
150,False,"{'a': 0.9, 'e': 0.5935408510426138}",20,11,-12.076097537615373,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.5917159763313609}",20,3,-84.65412187544003,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
